"","Name","position","playerid","IP","ERA","WHIP","SV","W","K","adjusted_points","dollar_value"
"450","Martin Perez","pitcher","6902",49,4.37,1.39,0,3,33,-3.31,-9.34
"596","Chris Young","pitcher","3196",57,4.71,1.37,0,3,37,-3.33,-9.38
"529","Dylan Axelrod","pitcher","9303",49,4.41,1.33,0,2,38,-3.33,-9.38
"491","Dustin McGowan","pitcher","8600",35,4.07,1.36,3,1,30,-3.33,-9.38
"347","J.J. Hoover","pitcher","9037",25,3.57,1.25,0,2,28,-3.35,-9.43
"541","Craig Breslow","pitcher","4363",55,4.39,1.45,0,3,39,-3.36,-9.48
"243","Jameson Taillon","pitcher","sa548151",37,3.92,1.32,0,2,30,-3.37,-9.48
"274","Robbie Erlin","pitcher","10354",34,3.94,1.28,0,2,28,-3.37,-9.49
"370","Alexi Ogando","pitcher","10261",35,3.91,1.32,0,2,30,-3.38,-9.52
"193","Sam Dyson","pitcher","11710",35,3.61,1.34,0,2,27,-3.39,-9.54
"313","Mario Hollands","pitcher","10504",45,4.12,1.38,0,2,36,-3.39,-9.55
"329","Ian Thomas","pitcher","13881",30,3.85,1.33,0,2,31,-3.4,-9.59
"413","Esmil Rogers","pitcher","6317",40,4.24,1.33,0,2,33,-3.41,-9.6
"92","Samuel Tuivailala","pitcher","13485",30,3.32,1.31,0,1,35,-3.41,-9.61
"523","Samuel Deduno","pitcher","5285",58,4.59,1.48,0,3,46,-3.42,-9.63
"421","Chad Bettis","pitcher","10587",35,4.44,1.4,2,2,29,-3.42,-9.64
"555","Ethan Martin","pitcher","3877",63,4.52,1.47,0,2,56,-3.42,-9.64
"304","Brian Duensing","pitcher","4064",45,4.16,1.38,0,2,35,-3.43,-9.65
"250","Bobby LaFromboise","pitcher","7758",35,3.82,1.33,0,2,27,-3.43,-9.67
"334","Aaron Crow","pitcher","10149",40,4.03,1.37,0,2,32,-3.44,-9.69
"585","David Hale","pitcher","9756",64,5.03,1.57,5,3,38,-3.44,-9.69
"238","Oliver Drake","pitcher","sa462416",25,3.56,1.28,0,2,25,-3.44,-9.7
"331","Brandon Kintzler","pitcher","9939",40,3.96,1.34,0,2,27,-3.45,-9.73
"537","Roman Mendez","pitcher","10307",55,4.42,1.43,0,2,44,-3.47,-9.78
"277","Blaine Hardy","pitcher","6499",30,3.79,1.32,0,2,26,-3.47,-9.79
"41","Yimi Garcia","pitcher","12095",20,3.07,1.14,1,1,21,-3.48,-9.79
"366","Joe Thatcher","pitcher","4620",30,3.99,1.31,0,2,27,-3.49,-9.83
"268","Brandon Finnegan","pitcher","16208",25,3.73,1.26,0,2,23,-3.49,-9.84
"60","Xavier Cedeno","pitcher","36",25,3.15,1.23,0,1,27,-3.5,-9.87
"532","Jason Hursh","pitcher","sa548316",56,4.61,1.42,0,3,33,-3.5,-9.87
"463","Johan Santana","pitcher","755",37,4.33,1.33,0,2,30,-3.51,-9.9
"416","Cesar Jimenez","pitcher","3762",40,4.07,1.4,0,2,32,-3.51,-9.9
"288","T.J. McFarland","pitcher","3237",35,3.85,1.34,0,2,24,-3.52,-9.91
"461","Luis Avilan","pitcher","2882",45,4.02,1.43,0,2,33,-3.53,-9.94
"406","Sean Nolin","pitcher","11341",34,4.07,1.34,0,2,27,-3.53,-9.95
"536","Chad Jenkins","pitcher","10326",55,4.62,1.36,0,2,33,-3.59,-10.11
"497","Robbie Ray","pitcher","11486",30,4.31,1.39,1,2,25,-3.59,-10.13
"580","Buck Farmer","pitcher","14814",57,5.11,1.44,0,3,43,-3.61,-10.16
"481","Erasmo Ramirez","pitcher","10314",34,4.32,1.32,0,2,25,-3.61,-10.16
"359","Tim Cooney","pitcher","sa621471",28,3.99,1.29,0,2,20,-3.62,-10.19
"441","Radhames Liz","pitcher","5843",40,4.13,1.41,0,2,28,-3.64,-10.24
"589","Eddie Butler","pitcher","13453",84,5.21,1.54,0,5,51,-3.65,-10.28
"94","Justin Grimm","pitcher","11720",25,3.45,1.25,0,1,24,-3.65,-10.29
"323","Chaz Roe","pitcher","9866",30,3.75,1.31,0,1,28,-3.66,-10.31
"590","Matt Magill","pitcher","3950",56,4.83,1.56,0,3,50,-3.67,-10.34
"546","Scott Barnes","pitcher","8718",35,4.46,1.45,0,2,34,-3.7,-10.42
"458","Ryan Dennick","pitcher","9261",35,3.96,1.33,0,1,28,-3.7,-10.43
"544","Ryan Buchter","pitcher","9456",40,4.32,1.56,0,2,43,-3.71,-10.44
"400","Louis Coleman","pitcher","9720",30,3.87,1.33,0,1,28,-3.72,-10.48
"384","Tom Layne","pitcher","7501",25,3.9,1.4,0,2,22,-3.73,-10.51
"312","Dan Jennings","pitcher","8073",35,4.03,1.39,0,1,33,-3.73,-10.51
"401","Matt Stites","pitcher","12165",25,4.07,1.3,1,1,22,-3.75,-10.56
"344","Kyuji Fujikawa","pitcher","14443",30,4.06,1.33,0,1,29,-3.75,-10.56
"409","Scott Rice","pitcher","2743",30,4.07,1.46,0,2,26,-3.76,-10.6
"130","Corey Knebel","pitcher","15010",20,3.42,1.27,0,1,23,-3.77,-10.62
