"","Name","position","playerid","IP","ERA","WHIP","SV","W","K","adjusted_points","dollar_value"
"5","Clayton Kershaw","pitcher","2036",232,2.29,0.99,0,18,261,14.09,39.69
"13","Max Scherzer","pitcher","3137",211,2.77,1.07,0,16,245,10.72,30.19
"10","Felix Hernandez","pitcher","4772",217,2.78,1.06,0,15,224,10.33,29.09
"26","Chris Sale","pitcher","10603",216,2.92,1.08,0,15,244,10.22,28.79
"27","Madison Bumgarner","pitcher","5524",221,2.88,1.09,0,16,219,10.08,28.39
"17","Corey Kluber","pitcher","2429",212,3.06,1.11,0,15,226,9.16,25.81
"22","Stephen Strasburg","pitcher","10131",191,2.97,1.1,0,14,211,8.29,23.36
"117","Johnny Cueto","pitcher","6893",205,3.09,1.12,0,15,190,8.1,22.81
"47","David Price","pitcher","3184",220,3.45,1.15,0,15,209,7.86,22.14
"35","Zack Greinke","pitcher","1943",202,3.05,1.12,0,14,189,7.82,22.02
"53","Jon Lester","pitcher","4930",214,3.19,1.17,0,15,199,7.78,21.92
"90","Masahiro Tanaka","pitcher","15764",211,3.44,1.12,0,14,194,7.46,21.01
"1","Aroldis Chapman","pitcher","10233",65,1.6,0.92,39,5,115,7.4,20.85
"42","James Shields","pitcher","7059",217,3.22,1.16,0,12,196,7.1,19.99
"89","Cole Hamels","pitcher","4972",216,3.4,1.16,0,12,209,7,19.73
"36","Adam Wainwright","pitcher","2233",197,3.15,1.14,0,14,166,6.86,19.32
"2","Craig Kimbrel","pitcher","6655",65,1.78,0.96,39,4,100,6.62,18.64
"97","Hisashi Iwakuma","pitcher","13048",204,3.41,1.12,0,13,169,6.6,18.59
"63","Jordan Zimmermann","pitcher","4505",191,3.22,1.13,0,13,160,6.32,17.82
"45","Phil Hughes","pitcher","7450",204,3.7,1.15,0,14,174,6.13,17.28
"50","Hyun-Jin Ryu","pitcher","14444",188,3.27,1.16,0,13,168,6.04,17.02
"81","Alex Cobb","pitcher","6562",197,3.34,1.22,0,13,175,5.66,15.95
"30","Matt Harvey","pitcher","11713",173,3.06,1.13,0,10,174,5.65,15.92
"4","Greg Holland","pitcher","7196",65,2.21,1.04,37,4,89,5.61,15.81
"16","Koji Uehara","pitcher","9227",65,2.47,0.97,36,5,76,5.55,15.65
"6","Jake McGee","pitcher","7550",65,2.38,1.03,38,4,81,5.53,15.59
"19","Trevor Rosenthal","pitcher","10745",65,2.66,1.16,42,4,82,5.53,15.57
"208","Julio Teheran","pitcher","6797",197,3.5,1.18,0,12,173,5.51,15.52
"8","Mark Melancon","pitcher","4264",65,2.56,1.07,40,4,63,5.22,14.71
"12","Joaquin Benoit","pitcher","1437",65,2.5,1.06,37,4,78,5.17,14.56
"173","Matt Shoemaker","pitcher","4776",196,3.69,1.18,0,13,159,5.14,14.49
"174","Jeff Samardzija","pitcher","3254",208,3.9,1.23,0,12,202,5.07,14.27
"18","Steve Cishek","pitcher","6483",65,2.87,1.17,39,5,73,5.03,14.16
"134","Lance Lynn","pitcher","2520",183,3.47,1.25,0,13,170,4.82,13.57
"65","Gerrit Cole","pitcher","13125",177,3.44,1.21,0,12,164,4.76,13.4
"176","Doug Fister","pitcher","9425",192,3.51,1.2,0,13,135,4.69,13.21
"222","Justin Verlander","pitcher","8700",209,3.9,1.27,0,14,178,4.67,13.16
"180","Ian Kennedy","pitcher","6986",200,3.71,1.25,0,11,194,4.66,13.14
"40","Cody Allen","pitcher","12183",65,3.05,1.19,38,4,79,4.59,12.94
"214","Homer Bailey","pitcher","8362",185,3.6,1.19,0,11,163,4.57,12.89
"152","John Lackey","pitcher","1507",184,3.61,1.19,0,12,151,4.55,12.82
"140","Sonny Gray","pitcher","12768",198,3.56,1.28,0,13,167,4.54,12.8
"79","Alex Wood","pitcher","13781",174,3.38,1.21,0,11,164,4.54,12.79
"57","Francisco Liriano","pitcher","3201",169,3.39,1.26,0,12,176,4.49,12.65
"96","Drew Storen","pitcher","6983",65,3.31,1.19,43,3,58,4.48,12.62
"256","Mike Fiers","pitcher","7754",169,3.77,1.17,0,12,163,4.46,12.58
"226","Collin McHugh","pitcher","7531",192,3.81,1.24,0,12,177,4.4,12.39
"51","Fernando Rodney","pitcher","494",65,3.22,1.26,40,4,70,4.36,12.3
"58","Hector Rondon","pitcher","2391",65,3.34,1.21,40,4,64,4.34,12.24
"422","Jered Weaver","pitcher","4235",204,3.91,1.24,0,13,157,4.24,11.95
"67","Tyson Ross","pitcher","7872",169,3.36,1.24,0,11,165,4.23,11.93
"159","Dallas Keuchel","pitcher","9434",215,3.78,1.29,0,13,160,4.13,11.63
"187","Scott Kazmir","pitcher","4897",177,3.68,1.22,0,12,153,4.09,11.51
"78","Jonathan Papelbon","pitcher","5975",65,3.27,1.15,36,4,63,4,11.28
"166","Huston Street","pitcher","8258",65,3.35,1.17,37,4,61,3.99,11.25
"223","Francisco Rodriguez","pitcher","1642",65,3.6,1.22,38,4,69,3.99,11.24
"52","Brett Cecil","pitcher","2660",65,3.25,1.23,36,4,75,3.99,11.24
"311","CC Sabathia","pitcher","404",210,4.12,1.25,0,12,177,3.99,11.23
"11","Dellin Betances","pitcher","6216",65,2.52,1.11,30,3,88,3.96,11.16
"49","Garrett Richards","pitcher","9784",157,3.29,1.21,0,11,142,3.9,10.98
"85","Brandon McCarthy","pitcher","4662",167,3.64,1.18,0,11,141,3.84,10.81
"23","Jose Fernandez","pitcher","11530",129,2.87,1.14,0,9,141,3.75,10.56
"104","Gio Gonzalez","pitcher","7448",162,3.48,1.25,0,11,159,3.74,10.55
"71","Anibal Sanchez","pitcher","3284",163,3.6,1.2,0,11,145,3.73,10.51
"32","Glen Perkins","pitcher","8041",65,3.15,1.14,34,3,70,3.71,10.46
"482","R.A. Dickey","pitcher","1245",209,4.1,1.28,0,13,164,3.68,10.37
"192","Rick Porcello","pitcher","2717",196,3.83,1.26,0,13,137,3.67,10.34
"7","Sean Doolittle","pitcher","1581",55,2.3,0.99,28,4,67,3.64,10.24
"206","Jake Peavy","pitcher","1051",171,3.52,1.2,0,10,138,3.6,10.14
"124","Zach Britton","pitcher","3240",65,3.22,1.24,37,3,56,3.48,9.81
"227","Chris Archer","pitcher","6345",182,3.68,1.29,0,11,161,3.42,9.65
"237","Yordano Ventura","pitcher","11855",174,3.68,1.29,0,12,153,3.41,9.62
"116","Danny Salazar","pitcher","5867",145,3.63,1.21,0,10,158,3.31,9.33
"146","Jake Arrieta","pitcher","4153",163,3.63,1.25,0,10,158,3.28,9.25
"239","Michael Pineda","pitcher","5372",170,3.76,1.2,0,10,140,3.27,9.22
"188","Mat Latos","pitcher","3815",192,3.74,1.26,0,10,148,3.23,9.11
"62","Carlos Carrasco","pitcher","6632",162,3.61,1.22,0,9,153,3.19,9
"316","Derek Holland","pitcher","4141",195,4.03,1.28,0,11,165,3.19,8.98
"15","David Robertson","pitcher","8241",65,2.93,1.13,25,4,84,3.14,8.84
"84","Jacob deGrom","pitcher","10954",165,3.57,1.23,0,9,149,3.13,8.83
"113","Michael Wacha","pitcher","14078",149,3.43,1.2,0,9,137,3.04,8.56
"279","Matt Cain","pitcher","4732",168,3.7,1.21,0,9,142,3.03,8.54
"212","Jose Quintana","pitcher","11423",184,3.89,1.28,0,10,152,2.79,7.85
"340","Matt Garza","pitcher","3340",186,4.03,1.27,0,10,155,2.74,7.73
"394","Wei-Yin Chen","pitcher","13071",175,4.02,1.24,0,11,132,2.7,7.61
"350","Drew Hutchison","pitcher","10732",167,4.14,1.27,0,11,158,2.7,7.6
"363","Shelby Miller","pitcher","10197",167,3.82,1.28,0,10,151,2.68,7.54
"119","Andrew Cashner","pitcher","8782",163,3.63,1.23,0,9,130,2.64,7.44
"503","Chris Tillman","pitcher","5279",197,4.16,1.3,0,11,152,2.53,7.12
"194","A.J. Burnett","pitcher","512",184,3.96,1.34,0,11,160,2.52,7.1
"355","Mike Leake","pitcher","10130",181,3.93,1.25,0,10,129,2.51,7.07
"418","Tony Cingrani","pitcher","12555",157,3.79,1.3,0,9,167,2.51,7.07
"156","Tim Hudson","pitcher","921",181,3.79,1.26,0,10,122,2.49,7.02
"468","Kyle Lohse","pitcher","739",193,4.17,1.25,0,10,135,2.38,6.72
"251","James Paxton","pitcher","11828",170,3.87,1.32,0,11,140,2.32,6.54
"269","Jason Hammel","pitcher","4538",161,3.88,1.25,0,9,139,2.28,6.43
"373","C.J. Wilson","pitcher","3580",194,4.14,1.38,0,12,166,2.27,6.4
"249","Bartolo Colon","pitcher","375",176,4.08,1.23,0,10,121,2.24,6.32
"148","Zack Wheeler","pitcher","10310",148,3.64,1.29,0,9,145,2.23,6.3
"161","Luke Gregerson","pitcher","4090",65,3.61,1.23,27,4,59,2.21,6.23
"520","Marco Estrada","pitcher","1118",175,4.38,1.25,0,10,151,2.21,6.22
"391","Neftali Feliz","pitcher","18",65,3.87,1.33,32,3,59,2.18,6.15
"254","Dan Haren","pitcher","1757",158,4,1.24,0,10,122,2.07,5.84
"419","Jake Odorizzi","pitcher","6397",167,4.06,1.31,0,10,150,2.06,5.8
"9","Andrew Miller","pitcher","6785",65,2.51,1.08,11,5,95,2.04,5.76
"154","Drew Smyly","pitcher","11760",121,3.39,1.17,0,8,113,2,5.64
"460","Josh Collmenter","pitcher","7312",184,4.16,1.28,0,10,132,1.96,5.53
"245","Jon Niese","pitcher","4424",178,3.92,1.29,0,9,133,1.95,5.5
"292","Wade Miley","pitcher","8779",173,4.04,1.34,0,11,139,1.9,5.36
"515","Jason Vargas","pitcher","8044",191,4.24,1.27,0,10,124,1.83,5.17
"3","Kenley Jansen","pitcher","3096",65,2.16,0.97,7,4,94,1.77,5
"333","Mike Minor","pitcher","10021",145,3.85,1.22,0,8,123,1.77,4.98
"374","Clay Buchholz","pitcher","3543",180,4.15,1.32,0,10,138,1.7,4.78
"436","Drew Pomeranz","pitcher","11426",160,4.01,1.35,0,10,144,1.62,4.57
"440","Matt Moore","pitcher","1890",158,3.97,1.36,0,10,144,1.58,4.46
"105","Jenrry Mejia","pitcher","8476",65,3.53,1.27,22,4,66,1.56,4.4
"375","Kevin Gausman","pitcher","14107",160,4.11,1.31,0,10,131,1.56,4.38
"398","Wily Peralta","pitcher","7738",180,4.19,1.37,0,11,144,1.54,4.35
"385","J.A. Happ","pitcher","7410",158,4.13,1.32,0,10,135,1.51,4.26
"234","Henderson Alvarez","pitcher","5669",166,3.84,1.29,0,10,99,1.51,4.26
"414","Ervin Santana","pitcher","3200",201,4.51,1.36,0,11,160,1.5,4.24
"428","Mark Buehrle","pitcher","225",204,4.27,1.35,0,12,121,1.5,4.22
"200","Joe Nathan","pitcher","1122",65,3.77,1.31,24,4,61,1.48,4.16
"397","Yovani Gallardo","pitcher","8173",183,4.34,1.35,0,11,142,1.47,4.14
"495","Jorge de la Rosa","pitcher","2047",190,4.45,1.4,0,13,144,1.37,3.87
"356","Jimmy Nelson","pitcher","10547",158,4.07,1.36,0,10,140,1.37,3.86
"425","Danny Duffy","pitcher","3542",139,3.71,1.32,0,9,115,1.22,3.45
"59","Yusmeiro Petit","pitcher","4020",92,3.29,1.12,5,5,88,1.16,3.27
"69","Bobby Parnell","pitcher","9926",65,3.4,1.24,19,4,57,1.13,3.19
"46","Sergio Romo","pitcher","9817",65,2.95,1.1,11,5,64,1.12,3.14
"430","Trevor Bauer","pitcher","12703",180,4.38,1.39,0,9,171,1.11,3.13
"145","Tyler Clippard","pitcher","5640",65,3.02,1.17,12,5,70,1.1,3.11
"56","Cliff Lee","pitcher","1636",106,3.47,1.13,0,6,96,0.99,2.8
"433","Jeremy Hellickson","pitcher","4371",159,4.28,1.3,0,9,123,0.99,2.79
"213","Kyle Hendricks","pitcher","12049",133,3.78,1.24,0,8,95,0.98,2.75
"295","Tim Lincecum","pitcher","5705",152,4.13,1.33,0,8,135,0.89,2.52
"464","Daniel Norris","pitcher","13475",139,4.28,1.37,0,9,142,0.74,2.08
"139","Santiago Casilla","pitcher","2873",65,3.27,1.25,14,5,55,0.68,1.92
"68","Joakim Soria","pitcher","6941",65,3.39,1.21,14,4,64,0.68,1.91
"395","Justin Masterson","pitcher","2038",167,4.24,1.41,0,10,136,0.67,1.89
"438","Roenis Elias","pitcher","12673",146,4.15,1.35,0,9,121,0.65,1.83
"557","Jeremy Guthrie","pitcher","2072",195,4.44,1.34,0,10,112,0.6,1.69
"469","Hector Santiago","pitcher","4026",143,4,1.34,0,8,119,0.6,1.69
"388","Jeff Locke","pitcher","2929",158,4.13,1.37,0,9,118,0.52,1.46
"141","Carlos Martinez","pitcher","11682",119,3.74,1.31,0,8,101,0.51,1.45
"462","Nathan Eovaldi","pitcher","9132",168,4.46,1.34,0,9,122,0.43,1.21
"24","Brad Boxberger","pitcher","10133",65,2.63,1.11,3,4,88,0.37,1.04
"380","Ricky Nolasco","pitcher","3830",172,4.61,1.34,0,9,127,0.32,0.91
"14","Wade Davis","pitcher","7441",65,2.54,1.11,1,5,78,0.19,0.53
"466","Bud Norris","pitcher","9492",122,4.13,1.32,0,8,102,0.1,0.29
"474","Brett Oberholtzer","pitcher","3855",162,4.66,1.33,0,9,114,0.06,0.17
"493","Anthony DeSclafani","pitcher","13050",139,4.38,1.29,0,7,109,0.03,0.08
"20","Ken Giles","pitcher","12910",65,2.8,1.15,2,4,85,-0.06,-0.16
"528","Travis Wood","pitcher","9884",150,4.35,1.37,0,8,117,-0.07,-0.19
"191","Tanner Roark","pitcher","8753",95,3.49,1.19,0,6,69,-0.1,-0.28
"102","Addison Reed","pitcher","10586",65,3.42,1.17,7,4,67,-0.13,-0.36
"368","Ivan Nova","pitcher","1994",113,4.08,1.31,0,7,92,-0.31,-0.86
"517","Scott Feldman","pitcher","6283",176,4.64,1.38,0,9,115,-0.31,-0.88
"259","Tsuyoshi Wada","pitcher","13046",93,3.72,1.25,0,6,82,-0.34,-0.97
"217","Vance Worley","pitcher","6435",113,3.96,1.29,0,7,78,-0.36,-1
"177","Darren O'Day","pitcher","3321",65,3.09,1.12,3,4,66,-0.36,-1.01
"301","Chase Anderson","pitcher","6895",94,3.91,1.27,1,6,84,-0.4,-1.12
"533","Edinson Volquez","pitcher","3990",159,4.55,1.42,0,9,120,-0.41,-1.16
"99","Joe Smith","pitcher","3281",65,3.15,1.19,4,5,57,-0.41,-1.17
"403","Rubby de la Rosa","pitcher","3862",138,4.26,1.37,0,7,108,-0.42,-1.19
"579","Miguel Gonzalez","pitcher","7024",133,4.47,1.33,0,8,93,-0.45,-1.28
"202","Pat Neshek","pitcher","4682",65,3.5,1.18,6,4,61,-0.46,-1.31
"195","J.P. Howell","pitcher","8245",65,3.38,1.29,8,4,61,-0.48,-1.36
"446","Jesse Hahn","pitcher","13287",140,4.21,1.38,0,7,104,-0.51,-1.43
"80","Antonio Bastardo","pitcher","8844",65,3.12,1.25,2,5,74,-0.54,-1.51
"349","Kyle Gibson","pitcher","10123",146,4.42,1.39,0,9,93,-0.54,-1.53
"502","Aaron Harang","pitcher","1451",163,4.61,1.4,0,8,121,-0.56,-1.59
"28","Jason Grilli","pitcher","521",65,2.92,1.16,2,3,76,-0.59,-1.66
"567","Colby Lewis","pitcher","1259",148,4.86,1.37,0,9,110,-0.6,-1.69
"61","Will Smith","pitcher","8048",74,3.29,1.21,0,4,86,-0.61,-1.72
"109","Zach Duke","pitcher","3840",65,3.58,1.25,8,3,66,-0.61,-1.72
"44","Pedro Strop","pitcher","4070",65,3.11,1.23,3,4,72,-0.62,-1.73
"562","Jhoulys Chacin","pitcher","2608",172,4.77,1.45,0,11,112,-0.68,-1.91
"121","Joel Peralta","pitcher","2332",55,3.33,1.17,7,3,58,-0.72,-2.03
"43","Junichi Tazawa","pitcher","4079",65,3.23,1.18,2,4,65,-0.79,-2.24
"270","Kris Medlen","pitcher","9417",91,3.8,1.26,0,6,66,-0.8,-2.26
"410","Shane Greene","pitcher","10756",130,4.46,1.41,0,8,102,-0.81,-2.27
"108","Brett Anderson","pitcher","8223",81,3.59,1.27,0,6,67,-0.81,-2.27
"489","Tyler Matzek","pitcher","10058",134,4.56,1.46,0,9,109,-0.87,-2.46
"131","Brandon Morrow","pitcher","9346",83,3.72,1.28,0,5,79,-0.92,-2.6
"378","T.J. House","pitcher","9121",139,4.36,1.4,0,7,98,-0.95,-2.68
"492","Joe Kelly","pitcher","9761",140,4.39,1.42,0,8,94,-0.96,-2.7
"82","Jeremy Affeldt","pitcher","583",55,3.25,1.27,9,3,44,-0.97,-2.72
"216","Brad Ziegler","pitcher","7293",65,3.45,1.31,7,4,47,-1.01,-2.84
"389","Randall Delgado","pitcher","5985",83,4.1,1.33,5,4,76,-1.01,-2.85
"272","Marco Gonzales","pitcher","15467",81,3.63,1.27,0,5,70,-1.02,-2.89
"480","Ubaldo Jimenez","pitcher","3374",105,4.22,1.39,0,6,98,-1.05,-2.97
"157","Oliver Perez","pitcher","1514",55,3.39,1.27,6,3,62,-1.09,-3.07
"253","David Phelps","pitcher","6316",91,3.81,1.32,0,5,78,-1.1,-3.09
"25","Shawn Kelley","pitcher","7773",55,2.94,1.17,2,3,65,-1.1,-3.1
"91","Evan Marshall","pitcher","12297",55,3.41,1.28,7,3,54,-1.15,-3.23
"257","Jonathan Broxton","pitcher","4759",65,3.61,1.26,4,4,57,-1.15,-3.24
"160","Casey Janssen","pitcher","7355",65,3.44,1.18,4,3,51,-1.16,-3.27
"77","Brandon Maurer","pitcher","4878",65,3.47,1.23,4,3,60,-1.16,-3.28
"34","Tony Watson","pitcher","3132",55,2.89,1.12,0,4,54,-1.19,-3.34
"48","Charlie Furbush","pitcher","1370",55,3.08,1.15,0,4,62,-1.2,-3.38
"33","Kelvin Herrera","pitcher","6033",55,2.97,1.18,1,4,56,-1.21,-3.41
"111","Ryan Cook","pitcher","8855",65,3.24,1.23,0,4,66,-1.23,-3.46
"248","Aaron Loup","pitcher","10343",65,3.54,1.28,4,4,54,-1.24,-3.49
"290","Odrisamer Despaigne","pitcher","16017",93,3.94,1.32,0,5,75,-1.24,-3.5
"186","Zach McAllister","pitcher","2895",83,3.97,1.28,0,5,69,-1.3,-3.66
"112","Adam Ottavino","pitcher","1247",55,3.57,1.26,5,3,57,-1.39,-3.91
"182","Casey Fien","pitcher","3926",65,3.72,1.21,1,4,60,-1.4,-3.96
"215","Tom Wilhelmsen","pitcher","9975",65,3.58,1.3,4,3,62,-1.42,-3.99
"317","Jesse Chavez","pitcher","5448",76,3.92,1.28,0,5,65,-1.42,-4
"267","LaTroy Hawkins","pitcher","729",65,4,1.3,6,4,46,-1.44,-4.05
"162","Bryan Shaw","pitcher","8110",65,3.7,1.27,2,4,58,-1.49,-4.21
"142","Randy Choate","pitcher","813",65,3.48,1.25,1,4,55,-1.51,-4.24
"29","Danny Farquhar","pitcher","8501",55,2.98,1.18,0,3,61,-1.51,-4.24
"55","John Holdzkom","pitcher","9392",55,3.12,1.27,0,4,64,-1.51,-4.27
"553","Alfredo Simon","pitcher","2155",146,4.75,1.42,0,8,88,-1.53,-4.3
"37","Carter Capps","pitcher","12803",55,3.2,1.21,1,3,62,-1.53,-4.32
"54","Mike Dunn","pitcher","9948",55,3.17,1.25,0,4,61,-1.54,-4.34
"522","Allen Webster","pitcher","3993",119,4.43,1.41,0,6,87,-1.57,-4.43
"110","Jim Henderson","pitcher","6653",55,3.5,1.24,0,4,65,-1.59,-4.47
"38","Jordan Walden","pitcher","3271",55,3.06,1.22,0,3,64,-1.6,-4.5
"299","Zach Putnam","pitcher","9080",55,3.93,1.35,6,4,48,-1.6,-4.5
"364","Rex Brothers","pitcher","9794",65,4.13,1.46,6,4,68,-1.6,-4.52
"379","Shawn Tolleson","pitcher","10481",65,3.92,1.31,4,3,63,-1.62,-4.56
"322","Edwin Jackson","pitcher","1841",96,4.38,1.36,0,5,82,-1.63,-4.59
"535","Ross Detwiler","pitcher","2859",139,4.62,1.42,0,7,86,-1.64,-4.62
"205","Javier Lopez","pitcher","1663",55,3.62,1.34,7,3,42,-1.65,-4.66
"64","Jake Diekman","pitcher","5003",55,3.36,1.32,2,3,67,-1.68,-4.73
"126","Luke Hochevar","pitcher","6943",55,3.22,1.16,0,3,55,-1.68,-4.74
"367","Jarred Cosart","pitcher","10304",104,4.1,1.43,0,6,71,-1.7,-4.8
"31","Aaron Barrett","pitcher","11243",55,3.13,1.21,0,3,58,-1.72,-4.85
"147","Tommy Hunter","pitcher","1157",55,3.36,1.14,1,3,46,-1.73,-4.88
"151","Adam Warren","pitcher","9029",55,3.46,1.22,2,3,52,-1.74,-4.91
"408","Nate Karns","pitcher","12638",77,4,1.33,0,4,73,-1.75,-4.92
"494","Alex Colome","pitcher","6661",100,4.28,1.42,0,6,74,-1.75,-4.93
"496","Kendall Graveman","pitcher","15514",104,4.38,1.35,0,6,59,-1.76,-4.97
"135","Tony Sipp","pitcher","8280",55,3.4,1.23,0,3,63,-1.8,-5.08
"354","Sam LeCure","pitcher","4664",65,3.83,1.31,3,3,58,-1.81,-5.09
"302","Josh Tomlin","pitcher","9388",77,4.27,1.24,0,4,61,-1.81,-5.1
"209","Rafael Soriano","pitcher","1100",65,3.51,1.24,0,3,58,-1.82,-5.12
"531","Aaron Sanchez","pitcher","11490",111,4.44,1.47,0,6,92,-1.82,-5.13
"118","Jeurys Familia","pitcher","5114",55,3.36,1.29,2,3,54,-1.85,-5.22
"260","Brian Wilson","pitcher","6485",65,3.74,1.33,0,4,65,-1.86,-5.23
"181","David Carpenter","pitcher","3959",55,3.5,1.2,0,3,57,-1.88,-5.31
"353","John Axford","pitcher","9059",55,4.22,1.42,5,4,57,-1.89,-5.32
"143","Al Alburquerque","pitcher","6324",55,3.62,1.29,1,3,64,-1.91,-5.39
"392","Trevor Cahill","pitcher","6249",93,4.32,1.41,0,5,77,-1.93,-5.44
"325","Andrew Heaney","pitcher","15423",65,3.89,1.27,0,4,54,-1.96,-5.52
"163","Vinnie Pestano","pitcher","4782",55,3.37,1.25,0,3,57,-1.96,-5.54
"547","David Buchanan","pitcher","11176",120,4.65,1.4,0,6,75,-1.97,-5.56
"451","Vidal Nuno","pitcher","9674",71,4.15,1.27,0,4,57,-1.98,-5.59
"75","Kevin Jepsen","pitcher","6475",55,3.24,1.21,0,2,58,-2.02,-5.7
"39","Yu Darvish","pitcher","13074",43,3.14,1.17,0,3,51,-2.03,-5.72
"158","Chad Qualls","pitcher","2170",55,4,1.28,6,2,43,-2.03,-5.73
"300","Felix Doubront","pitcher","1478",68,3.98,1.33,0,4,61,-2.04,-5.76
"362","Ryan Vogelsong","pitcher","1011",75,4.07,1.31,0,4,57,-2.05,-5.78
"442","Dillon Gee","pitcher","7396",79,4.26,1.3,0,4,59,-2.06,-5.82
"66","Chris Hatcher","pitcher","3299",40,3.34,1.18,4,2,40,-2.1,-5.91
"95","Neil Ramirez","pitcher","7677",45,3.17,1.24,0,3,53,-2.12,-5.96
"144","Rafael Montero","pitcher","12760",53,3.54,1.23,0,3,52,-2.12,-5.98
"171","Fernando Salas","pitcher","4971",55,3.6,1.22,0,3,50,-2.13,-5.99
"101","Kevin Siegrist","pitcher","8180",45,3.18,1.24,0,3,52,-2.14,-6.03
"247","Jason Motte","pitcher","5861",55,3.69,1.23,0,3,52,-2.16,-6.08
"211","Manny Parra","pitcher","4279",55,3.57,1.28,0,3,56,-2.16,-6.09
"204","Sean Burnett","pitcher","1886",65,3.59,1.25,0,2,57,-2.17,-6.1
"310","Brandon League","pitcher","3731",55,3.95,1.39,6,3,38,-2.17,-6.11
"307","Nicholas Tropeano","pitcher","12385",63,4.05,1.29,0,4,51,-2.19,-6.17
"114","Seth Maness","pitcher","12235",55,3.38,1.2,0,3,38,-2.21,-6.22
"73","Josh Fields","pitcher","5070",45,3.45,1.22,0,3,51,-2.22,-6.24
"448","Jon Gray","pitcher","sa549112",75,4.47,1.37,0,5,60,-2.22,-6.27
"165","Scott Atchison","pitcher","2642",55,3.8,1.26,2,3,41,-2.23,-6.29
"456","Miguel Gonzalez","pitcher","15675",77,4.32,1.36,0,4,65,-2.23,-6.3
"444","Chris Capuano","pitcher","1701",74,4.35,1.33,0,4,60,-2.25,-6.34
"285","Grant Balfour","pitcher","718",55,3.66,1.33,1,3,53,-2.27,-6.38
"303","Juan Nicasio","pitcher","7731",45,3.84,1.27,5,2,39,-2.27,-6.4
"287","Bryan Morris","pitcher","10234",65,3.79,1.34,1,3,52,-2.29,-6.44
"572","Kyle Kendrick","pitcher","6230",114,4.96,1.42,0,7,67,-2.29,-6.45
"552","Dylan Bundy","pitcher","12917",81,4.44,1.4,0,5,61,-2.3,-6.48
"185","Boone Logan","pitcher","5525",40,3.85,1.3,3,3,44,-2.33,-6.55
"512","Mike Foltynewicz","pitcher","10811",86,4.38,1.43,0,4,76,-2.34,-6.58
"477","Andre Rienzo","pitcher","3507",96,4.49,1.45,0,5,73,-2.34,-6.6
"258","Brian Matusz","pitcher","2646",55,3.55,1.23,0,2,52,-2.34,-6.6
"196","Jumbo Diaz","pitcher","3397",55,3.5,1.26,0,2,55,-2.34,-6.6
"583","Brad Peacock","pitcher","5401",123,5.09,1.49,0,6,106,-2.38,-6.71
"507","Brandon Beachy","pitcher","8851",66,4.26,1.33,0,4,51,-2.42,-6.81
"183","Patrick Corbin","pitcher","9323",47,3.57,1.21,0,3,39,-2.44,-6.89
"296","Justin De Fratus","pitcher","4955",55,3.8,1.29,0,3,48,-2.46,-6.93
"133","Mike Morin","pitcher","13442",45,3.52,1.22,0,3,40,-2.46,-6.94
"293","Vic Black","pitcher","9195",55,3.71,1.39,0,3,59,-2.48,-6.98
"501","Jordan Lyles","pitcher","7593",93,4.64,1.42,0,5,64,-2.49,-7.01
"319","Todd Redmond","pitcher","9943",55,3.87,1.29,0,3,48,-2.49,-7.02
"103","Craig Stammen","pitcher","7274",45,3.44,1.24,0,3,39,-2.5,-7.04
"150","Daniel Hudson","pitcher","7146",40,3.85,1.25,4,2,35,-2.51,-7.08
"358","Brad Brach","pitcher","6627",45,3.69,1.26,0,3,45,-2.52,-7.1
"309","James Russell","pitcher","4089",55,3.77,1.29,0,3,44,-2.52,-7.11
"175","Josh Johnson","pitcher","4567",56,3.93,1.3,0,3,48,-2.54,-7.15
"220","Tyler Lyons","pitcher","11334",48,3.72,1.23,0,3,39,-2.54,-7.15
"189","Dan Otero","pitcher","7385",55,3.53,1.25,0,3,32,-2.54,-7.15
"381","Cody Martin","pitcher","sa549474",65,4.13,1.36,0,3,59,-2.54,-7.16
"306","Edward Mujica","pitcher","3970",55,3.95,1.25,2,2,40,-2.55,-7.17
"137","R.J. Alvarez","pitcher","13401",45,3.27,1.27,0,2,49,-2.55,-7.19
"198","Jason Frasor","pitcher","1906",45,3.51,1.29,0,3,43,-2.56,-7.21
"201","Michael Tonkin","pitcher","10315",55,3.94,1.32,0,3,49,-2.59,-7.29
"190","Yoervis Medina","pitcher","10498",45,3.52,1.33,0,3,46,-2.6,-7.32
"314","Tim Stauffer","pitcher","6432",68,4.31,1.4,0,4,55,-2.6,-7.32
"70","Nick Vincent","pitcher","7555",40,3.18,1.18,0,2,40,-2.6,-7.33
"386","Tanner Scheppers","pitcher","10267",55,3.93,1.31,0,3,46,-2.61,-7.37
"235","Ernesto Frieri","pitcher","5178",40,3.45,1.22,0,2,48,-2.62,-7.37
"439","Tom Koehler","pitcher","6570",66,4.29,1.39,0,4,51,-2.64,-7.43
"566","Nick Tepesch","pitcher","11716",95,4.73,1.41,0,5,57,-2.66,-7.49
"524","Jerome Williams","pitcher","1137",94,4.73,1.39,0,4,64,-2.67,-7.52
"286","Joba Chamberlain","pitcher","2692",55,4.14,1.37,1,3,49,-2.68,-7.56
"83","Kevin Quackenbush","pitcher","12360",45,3.36,1.28,0,2,45,-2.69,-7.58
