"","Name","position","AB","R","HR","RBI","SB","AVG","adjusted_points","dollar_value"
"393","Brandon Hicks","second_base",144,15,5,16,1,0.203,-9.58,-29.35
"587","Tony Gwynn","outfield",90,9,1,8,3,0.232,-9.58,-29.37
"834","Adam Rosales","shortstop",114,13,3,12,1,0.24,-9.59,-29.38
"60","Tommy Medica","first_base",185,20,6,22,2,0.222,-9.6,-29.44
"565","Leury Garcia","second_base",151,14,2,12,8,0.215,-9.6,-29.44
"768","John Hester","catcher",1,0,0,0,0,0.205,-9.62,-29.49
"819","Brandon Bantz","catcher",1,0,0,0,0,0.205,-9.62,-29.49
"1190","Nick Derba","catcher",1,0,0,0,0,0.205,-9.62,-29.49
"1566","Ryan Ortiz","catcher",1,0,0,0,0,0.205,-9.62,-29.49
"1676","Jeffrey Farnham","catcher",1,0,0,0,0,0.205,-9.62,-29.49
"1682","Jack Murphy","catcher",1,0,0,0,0,0.205,-9.62,-29.49
"1959","Miguel Del Castillo","catcher",1,0,0,0,0,0.205,-9.62,-29.49
"2598","Beau Taylor","catcher",1,0,0,0,0,0.205,-9.62,-29.49
"3308","Jose Chavez","catcher",1,0,0,0,0,0.205,-9.62,-29.49
"3447","Parker Morin","catcher",1,0,0,0,0,0.205,-9.62,-29.49
"30","Domingo Santana","outfield",88,10,3,10,1,0.221,-9.62,-29.5
"392","Chris Heisey","outfield",75,8,2,8,2,0.233,-9.64,-29.56
"303","Rafael Ynoa","third_base",45,5,1,4,1,0.255,-9.65,-29.58
"284","Pete Kozma","shortstop",175,16,2,16,3,0.226,-9.66,-29.63
"71","Steven Lerud","catcher",1,0,0,0,0,0.204,-9.66,-29.63
"1107","Griff Erickson","catcher",1,0,0,0,0,0.204,-9.66,-29.63
"1956","Hans Wilson","catcher",1,0,0,0,0,0.204,-9.66,-29.63
"2067","Robert Kral","catcher",1,0,0,0,0,0.204,-9.66,-29.63
"2503","Chad Noble","catcher",1,0,0,0,0,0.204,-9.66,-29.63
"2525","Chad Wallach","catcher",1,0,0,0,0,0.204,-9.66,-29.63
"3946","Frank Schwindel","catcher",1,0,0,0,0,0.204,-9.66,-29.63
"3327","Byron Buxton","outfield",60,7,1,7,3,0.24,-9.66,-29.64
"855","Efren Navarro","outfield",59,6,1,6,1,0.244,-9.71,-29.77
