"","Name","position","AB","R","HR","RBI","SB","AVG","adjusted_points","dollar_value"
"458","Brian Bogusevic","outfield",1,0,0,0,0,0.243,-11.16,-34.55
"563","Cole Gillespie","outfield",1,0,0,0,0,0.243,-11.16,-34.55
"652","Chris Dickerson","outfield",1,0,0,0,0,0.243,-11.16,-34.55
"1710","Tyler Naquin","outfield",1,0,0,0,0,0.243,-11.16,-34.55
"2039","Juan Crousset","outfield",1,0,0,0,0,0.243,-11.16,-34.55
"3115","Blake Gailen","outfield",1,0,0,0,0,0.243,-11.16,-34.55
"35","Enrique Hernandez","outfield",18,2,0,2,0,0.233,-11.17,-34.56
"815","Miguel Tejada","third_base",1,0,0,0,0,0.247,-11.19,-34.64
"1602","Tyler Roberts","catcher",1,0,0,0,0,0.169,-11.2,-34.65
"1927","Joel Jimenez","catcher",1,0,0,0,0,0.169,-11.2,-34.65
"2018","Carlos Rodriguez","catcher",1,0,0,0,0,0.169,-11.2,-34.65
"2559","Ricardo Valenzuela","catcher",1,0,0,0,0,0.169,-11.2,-34.65
"2584","Tony Caldwell","catcher",1,0,0,0,0,0.169,-11.2,-34.65
"2865","Michael Perez","catcher",1,0,0,0,0,0.169,-11.2,-34.65
"2917","Miles Hamblin","catcher",1,0,0,0,0,0.169,-11.2,-34.65
"3634","Brett Booth","catcher",1,0,0,0,0,0.169,-11.2,-34.65
"4228","Pablo Garcia","catcher",1,0,0,0,0,0.169,-11.2,-34.65
"93","Stefen Romero","outfield",1,0,0,0,0,0.242,-11.21,-34.69
"540","Francisco Peguero","outfield",1,0,0,0,0,0.242,-11.21,-34.69
"977","David Winfree","outfield",1,0,0,0,0,0.242,-11.21,-34.69
"1170","Ty Wright","outfield",1,0,0,0,0,0.242,-11.21,-34.69
"1702","Bryson Smith","outfield",1,0,0,0,0,0.242,-11.21,-34.69
"2066","Alex Dickerson","outfield",1,0,0,0,0,0.242,-11.21,-34.69
"3134","Kyle Wren","outfield",1,0,0,0,0,0.242,-11.21,-34.69
"75","Carlos Rivero","third_base",1,0,0,0,0,0.246,-11.24,-34.79
"1578","Jobduan Morales","catcher",1,0,0,0,0,0.168,-11.24,-34.8
"2271","Gabriel Lino","catcher",1,0,0,0,0,0.168,-11.24,-34.8
"2431","Luke Guarnaccia","catcher",1,0,0,0,0,0.168,-11.24,-34.8
"2549","Isaias Tejeda","catcher",1,0,0,0,0,0.168,-11.24,-34.8
"2869","Jordan Weems","catcher",1,0,0,0,0,0.168,-11.24,-34.8
"2961","Wes Wilson","catcher",1,0,0,0,0,0.168,-11.24,-34.8
"3093","Tyler Baker","catcher",1,0,0,0,0,0.168,-11.24,-34.8
"3114","Tomas Morales","catcher",1,0,0,0,0,0.168,-11.24,-34.8
"3322","Roberto Tovar","catcher",1,0,0,0,0,0.168,-11.24,-34.8
"3755","Jhon Nunez","catcher",1,0,0,0,0,0.168,-11.24,-34.8
"4206","Ali Sanchez","catcher",1,0,0,0,0,0.168,-11.24,-34.8
"4304","Brian O'Keefe","catcher",1,0,0,0,0,0.168,-11.24,-34.8
"542","Corban Joseph","second_base",1,0,0,0,0,0.252,-11.24,-34.81
"289","Michael Taylor","outfield",1,0,0,0,0,0.241,-11.25,-34.83
"501","Wilkin Ramirez","outfield",1,0,0,0,0,0.241,-11.25,-34.83
"612","Jim Adduci","outfield",1,0,0,0,0,0.241,-11.25,-34.83
"715","Adron Chambers","outfield",1,0,0,0,0,0.241,-11.25,-34.83
"976","Jesus Valdez","outfield",1,0,0,0,0,0.241,-11.25,-34.83
"1159","Jose Martinez","outfield",1,0,0,0,0,0.241,-11.25,-34.83
"1654","Scott Krieger","outfield",1,0,0,0,0,0.241,-11.25,-34.83
"1753","David Kandilas","outfield",1,0,0,0,0,0.241,-11.25,-34.83
"2620","Preston Tucker","outfield",1,0,0,0,0,0.241,-11.25,-34.83
"2652","Justin Jirschele","outfield",1,0,0,0,0,0.241,-11.25,-34.83
"3331","Albert Almora","outfield",1,0,0,0,0,0.241,-11.25,-34.83
"390","John McDonald","third_base",60,5,1,5,1,0.218,-11.27,-34.88
"163","Dilson Herrera","second_base",30,3,1,3,1,0.234,-11.27,-34.89
"99","Steven Moya","outfield",19,2,1,3,0,0.228,-11.27,-34.91
"2083","John Nester","catcher",1,0,0,0,0,0.167,-11.28,-34.94
"2829","Eduardo De Oleo","catcher",1,0,0,0,0,0.167,-11.28,-34.94
"3506","Dan Klein","catcher",1,0,0,0,0,0.167,-11.28,-34.94
"3530","Colton Plaia","catcher",1,0,0,0,0,0.167,-11.28,-34.94
"3604","B.J. Lopez","catcher",1,0,0,0,0,0.167,-11.28,-34.94
"3711","Michael De La Cruz","catcher",1,0,0,0,0,0.167,-11.28,-34.94
"4027","Kale Sumner","catcher",1,0,0,0,0,0.167,-11.28,-34.94
"4066","Miguel Guzman","catcher",1,0,0,0,0,0.167,-11.28,-34.94
"4242","Yohan Matos","catcher",1,0,0,0,0,0.167,-11.28,-34.94
"4287","Jamie Ritchie","catcher",1,0,0,0,0,0.167,-11.28,-34.94
"492","Tony Abreu","second_base",1,0,0,0,0,0.251,-11.29,-34.95
"513","Pedro Ciriaco","second_base",1,0,0,0,0,0.251,-11.29,-34.95
"576","Cristhian Adames","second_base",1,0,0,0,0,0.251,-11.29,-34.95
"164","Jerry Hairston","outfield",1,0,0,0,0,0.24,-11.29,-34.98
"479","Engel Beltre","outfield",1,0,0,0,0,0.24,-11.29,-34.98
"561","Brett Pill","outfield",1,0,0,0,0,0.24,-11.29,-34.98
"820","Bobby Abreu","outfield",1,0,0,0,0,0.24,-11.29,-34.98
"1114","Deik Scram","outfield",1,0,0,0,0,0.24,-11.29,-34.98
"2388","Tyler Austin","outfield",1,0,0,0,0,0.24,-11.29,-34.98
"664","Jake Elmore","shortstop",48,5,0,4,1,0.248,-11.31,-35.02
"1709","Nicholas Desantiago","catcher",1,0,0,0,0,0.166,-11.33,-35.08
"2517","Seth Conner","catcher",1,0,0,0,0,0.166,-11.33,-35.08
"2719","Carlos Sanchez","catcher",1,0,0,0,0,0.166,-11.33,-35.08
"2764","Rommel Cepeda","catcher",1,0,0,0,0,0.166,-11.33,-35.08
"2804","Marlon Avea","catcher",1,0,0,0,0,0.166,-11.33,-35.08
"2832","Danny Arribas","catcher",1,0,0,0,0,0.166,-11.33,-35.08
"3286","Juan Kelly","catcher",1,0,0,0,0,0.166,-11.33,-35.08
"3340","Steve Bean","catcher",1,0,0,0,0,0.166,-11.33,-35.08
"4046","Ryan Miller","catcher",1,0,0,0,0,0.166,-11.33,-35.08
"4084","Robbie Perkins","catcher",1,0,0,0,0,0.166,-11.33,-35.08
"4162","Taylor Gushue","catcher",1,0,0,0,0,0.166,-11.33,-35.08
"4231","Roldani Baldwin","catcher",1,0,0,0,0,0.166,-11.33,-35.08
"487","Brock Peterson","outfield",1,0,0,0,0,0.239,-11.34,-35.12
"1007","Corey Wimberly","outfield",1,0,0,0,0,0.239,-11.34,-35.12
"1152","Danny Dorn","outfield",1,0,0,0,0,0.239,-11.34,-35.12
"1246","Taylor Grote","outfield",1,0,0,0,0,0.239,-11.34,-35.12
"1277","Mitch Dening","outfield",1,0,0,0,0,0.239,-11.34,-35.12
"1453","Ronald Bermudez","outfield",1,0,0,0,0,0.239,-11.34,-35.12
"1516","Slade Heathcott","outfield",1,0,0,0,0,0.239,-11.34,-35.12
"1786","Cameron Perkins","outfield",1,0,0,0,0,0.239,-11.34,-35.12
"2188","Jason Krizan","outfield",1,0,0,0,0,0.239,-11.34,-35.12
"2673","Hirotoshi Onaka","outfield",1,0,0,0,0,0.239,-11.34,-35.12
"264","Hector Gomez","third_base",62,5,1,6,1,0.216,-11.35,-35.17
"841","Ben Paulsen","first_base",79,9,3,10,1,0.244,-11.36,-35.2
"2550","Felix Castillo","catcher",1,0,0,0,0,0.165,-11.37,-35.23
"2761","Luis Ortega","catcher",1,0,0,0,0,0.165,-11.37,-35.23
"2791","Joel Polanco","catcher",1,0,0,0,0,0.165,-11.37,-35.23
"2809","Jose Rojas","catcher",1,0,0,0,0,0.165,-11.37,-35.23
"3262","Jose Ruiz","catcher",1,0,0,0,0,0.165,-11.37,-35.23
"3463","Jose Ortiz","catcher",1,0,0,0,0,0.165,-11.37,-35.23
"3661","Mario Sanjur","catcher",1,0,0,0,0,0.165,-11.37,-35.23
"3802","Ronald Soto","catcher",1,0,0,0,0,0.165,-11.37,-35.23
"3870","Robert Mullen","catcher",1,0,0,0,0,0.165,-11.37,-35.23
"553","Yamaico Navarro","second_base",1,0,0,0,0,0.249,-11.38,-35.24
"240","Antoan Richardson","outfield",1,0,0,0,0,0.238,-11.38,-35.26
"322","Nate McLouth","outfield",1,0,0,0,0,0.238,-11.38,-35.26
"773","Zelous Wheeler","outfield",1,0,0,0,0,0.238,-11.38,-35.26
"996","Jon Mark Owings","outfield",1,0,0,0,0,0.238,-11.38,-35.26
"1074","D'Arby Myers","outfield",1,0,0,0,0,0.238,-11.38,-35.26
"1174","Adalberto Santos","outfield",1,0,0,0,0,0.238,-11.38,-35.26
"1382","Jared Bolden","outfield",1,0,0,0,0,0.238,-11.38,-35.26
"1737","Michael Yastrzemski","outfield",1,0,0,0,0,0.238,-11.38,-35.26
"1750","Ramon Flores","outfield",1,0,0,0,0,0.238,-11.38,-35.26
"2264","Yeison Asencio","outfield",1,0,0,0,0,0.238,-11.38,-35.26
"2681","David Harris","outfield",1,0,0,0,0,0.238,-11.38,-35.26
"2362","Miguel Leal","catcher",1,0,0,0,0,0.164,-11.42,-35.37
"3108","Andy Paz","catcher",1,0,0,0,0,0.164,-11.42,-35.37
"3712","Javier Hernandez","catcher",1,0,0,0,0,0.164,-11.42,-35.37
"645","Ryan Kalish","outfield",1,0,0,0,0,0.237,-11.43,-35.41
"1117","Lee Haydel","outfield",1,0,0,0,0,0.237,-11.43,-35.41
"1293","Jacob Julius","outfield",1,0,0,0,0,0.237,-11.43,-35.41
"1868","Teodoro Martinez","outfield",1,0,0,0,0,0.237,-11.43,-35.41
"2080","Brian Fletcher","outfield",1,0,0,0,0,0.237,-11.43,-35.41
"2094","Tom Belza","outfield",1,0,0,0,0,0.237,-11.43,-35.41
"2464","Jin-Ho Shin","catcher",1,0,0,0,0,0.163,-11.46,-35.51
"2499","Brandon Dailey","catcher",1,0,0,0,0,0.163,-11.46,-35.51
"2777","Jhonny Pena","catcher",1,0,0,0,0,0.163,-11.46,-35.51
"2801","Henderson Peralta","catcher",1,0,0,0,0,0.163,-11.46,-35.51
"2815","Cesar Gonzalez","catcher",1,0,0,0,0,0.163,-11.46,-35.51
"3253","Wilber Torres","catcher",1,0,0,0,0,0.163,-11.46,-35.51
"3442","Phildrick Llewellyn","catcher",1,0,0,0,0,0.163,-11.46,-35.51
"3546","Tim Remes","catcher",1,0,0,0,0,0.163,-11.46,-35.51
"3667","Jhonny Pereda","catcher",1,0,0,0,0,0.163,-11.46,-35.51
"3698","Oswaldo Garcia","catcher",1,0,0,0,0,0.163,-11.46,-35.51
"3754","Isaias Lucena","catcher",1,0,0,0,0,0.163,-11.46,-35.51
"3824","Maikel Lopez","catcher",1,0,0,0,0,0.163,-11.46,-35.51
"713","Henry Rodriguez","second_base",1,0,0,0,0,0.247,-11.46,-35.53
"169","Andres Torres","outfield",1,0,0,0,0,0.236,-11.47,-35.55
"333","Austin Kearns","outfield",1,0,0,0,0,0.236,-11.47,-35.55
"968","Scott Beerer","outfield",1,0,0,0,0,0.236,-11.47,-35.55
"1233","Tim Smith","outfield",1,0,0,0,0,0.236,-11.47,-35.55
"1317","Destin Hood","outfield",1,0,0,0,0,0.236,-11.47,-35.55
"1431","Justin Greene","outfield",1,0,0,0,0,0.236,-11.47,-35.55
"1465","Leandro Castro","outfield",1,0,0,0,0,0.236,-11.47,-35.55
"1562","Jordan Henry","outfield",1,0,0,0,0,0.236,-11.47,-35.55
"1887","Keury De La Cruz","outfield",1,0,0,0,0,0.236,-11.47,-35.55
"1974","Starlin Rodriguez","outfield",1,0,0,0,0,0.236,-11.47,-35.55
"2323","Mason Williams","outfield",30,3,0,3,1,0.221,-11.48,-35.57
"1930","Jeyckol De Leon","catcher",1,0,0,0,0,0.162,-11.5,-35.66
"1940","Gabriel Cornier","catcher",1,0,0,0,0,0.162,-11.5,-35.66
"2235","Jesus Araiza","catcher",1,0,0,0,0,0.162,-11.5,-35.66
"2855","Brett Austin","catcher",1,0,0,0,0,0.162,-11.5,-35.66
"3809","Angel Genao","catcher",1,0,0,0,0,0.162,-11.5,-35.66
"3881","Brian Navarreto","catcher",1,0,0,0,0,0.162,-11.5,-35.66
"3947","Elvin Soto","catcher",1,0,0,0,0,0.162,-11.5,-35.66
"764","Cord Phelps","second_base",1,0,0,0,0,0.246,-11.51,-35.67
"66","Matt Szczur","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"297","Pete Orr","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"374","Felix Pie","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"581","Moises Sierra","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"633","Nick Buss","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"1058","Michael Hernandez","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"1078","Jermaine Mitchell","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"1128","Dustin Martin","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"1244","Bo Greenwell","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"1364","Aaron Luna","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"1389","Dan Brewer","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"1413","Tyler Massey","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"1495","Alejandro Selen","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"1620","Deangelo Mack","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"2243","Felix Perez","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"2580","Juan Carlos Linares","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"2853","Charlie Tilson","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"2891","Jake Cave","outfield",1,0,0,0,0,0.235,-11.51,-35.69
"10","Donald Lutz","outfield",30,3,1,3,0,0.217,-11.54,-35.78
"2481","Michael Quesada","catcher",1,0,0,0,0,0.161,-11.55,-35.8
"2573","Adrian Abreu","catcher",1,0,0,0,0,0.161,-11.55,-35.8
"2662","Sam Eberle","catcher",1,0,0,0,0,0.161,-11.55,-35.8
"2751","Alixon Suarez","catcher",1,0,0,0,0,0.161,-11.55,-35.8
"3285","Roberto Vahlis","catcher",1,0,0,0,0,0.161,-11.55,-35.8
"3377","Chad Johnson","catcher",1,0,0,0,0,0.161,-11.55,-35.8
"3707","Alejandro Flores","catcher",1,0,0,0,0,0.161,-11.55,-35.8
"3896","Jonah Heim","catcher",1,0,0,0,0,0.161,-11.55,-35.8
"3923","Stephen Mcgee","catcher",1,0,0,0,0,0.161,-11.55,-35.8
"4044","Elier Rodriguez","catcher",1,0,0,0,0,0.161,-11.55,-35.8
"154","Matt Duffy","second_base",1,0,0,0,0,0.245,-11.55,-35.81
"769","Cole Figueroa","second_base",1,0,0,0,0,0.245,-11.55,-35.81
"259","Don Kelly","outfield",1,0,0,0,0,0.234,-11.56,-35.84
"489","Caleb Gindl","outfield",1,0,0,0,0,0.234,-11.56,-35.84
"832","Shawn O'Malley","outfield",1,0,0,0,0,0.234,-11.56,-35.84
"960","David Cook","outfield",1,0,0,0,0,0.234,-11.56,-35.84
"1066","Cody Johnson","outfield",1,0,0,0,0,0.234,-11.56,-35.84
"1408","Jake Shaffer","outfield",1,0,0,0,0,0.234,-11.56,-35.84
"1650","Brady Shoemaker","outfield",1,0,0,0,0,0.234,-11.56,-35.84
"1706","Mitchell Haniger","outfield",1,0,0,0,0,0.234,-11.56,-35.84
"2078","Caleb Ramsey","outfield",1,0,0,0,0,0.234,-11.56,-35.84
"2342","Henry Ramos","outfield",1,0,0,0,0,0.234,-11.56,-35.84
"2354","Jared Hoying","outfield",1,0,0,0,0,0.234,-11.56,-35.84
"2356","Benjamin Gamel","outfield",1,0,0,0,0,0.234,-11.56,-35.84
"3370","Tyrone Taylor","outfield",1,0,0,0,0,0.234,-11.56,-35.84
"81","Gary Brown","outfield",19,2,0,2,1,0.224,-11.56,-35.85
"238","Gil Velazquez","third_base",1,0,0,0,0,0.238,-11.59,-35.93
"686","Blake DeWitt","third_base",1,0,0,0,0,0.238,-11.59,-35.93
"1509","Martin Cervenka","catcher",1,0,0,0,0,0.16,-11.59,-35.94
"2142","Gabriel Tenia","catcher",1,0,0,0,0,0.16,-11.59,-35.94
"2823","Natanael Mejia","catcher",1,0,0,0,0,0.16,-11.59,-35.94
"3321","Kevin Martinez","catcher",1,0,0,0,0,0.16,-11.59,-35.94
"3956","Michael Miller","catcher",1,0,0,0,0,0.16,-11.59,-35.94
"3972","Tanner Norton","catcher",1,0,0,0,0,0.16,-11.59,-35.94
"341","Chris Getz","second_base",1,0,0,0,0,0.244,-11.59,-35.96
"767","Carlos Peguero","outfield",1,0,0,0,0,0.233,-11.6,-35.98
"974","Javier Herrera","outfield",1,0,0,0,0,0.233,-11.6,-35.98
"1119","Johan Limonta","outfield",1,0,0,0,0,0.233,-11.6,-35.98
"1332","Peter Hissey","outfield",1,0,0,0,0,0.233,-11.6,-35.98
"2054","Johnny Ruettiger","outfield",1,0,0,0,0,0.233,-11.6,-35.98
"3372","Nick Williams","outfield",1,0,0,0,0,0.233,-11.6,-35.98
"46","Lane Adams","outfield",13,1,0,1,1,0.228,-11.6,-35.99
"373","Zach Lutz","third_base",1,0,0,0,0,0.237,-11.63,-36.08
"497","Alex Gonzalez","third_base",1,0,0,0,0,0.237,-11.63,-36.08
"1612","Bennett Pickar","catcher",1,0,0,0,0,0.159,-11.63,-36.09
"2238","Juan De La Cruz","catcher",1,0,0,0,0,0.159,-11.63,-36.09
"2693","Jose Duarte","catcher",1,0,0,0,0,0.159,-11.63,-36.09
"2728","Kevin Calderon","catcher",1,0,0,0,0,0.159,-11.63,-36.09
"3095","Deybi Garcia","catcher",1,0,0,0,0,0.159,-11.63,-36.09
"3398","Kreiber Auciello","catcher",1,0,0,0,0,0.159,-11.63,-36.09
"3403","Jose Barraza","catcher",1,0,0,0,0,0.159,-11.63,-36.09
"3589","Alberto Mineo","catcher",1,0,0,0,0,0.159,-11.63,-36.09
"3742","Yoel Gonzalez","catcher",1,0,0,0,0,0.159,-11.63,-36.09
"3763","Derik Capitillo","catcher",1,0,0,0,0,0.159,-11.63,-36.09
"3774","Jose Torres","catcher",1,0,0,0,0,0.159,-11.63,-36.09
"4305","Adam Martin","catcher",1,0,0,0,0,0.159,-11.63,-36.09
"294","Corey Brown","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"314","Jesus Guzman","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"344","Trevor Crowe","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"816","Quintin Berry","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"1185","Robbie Widlansky","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"1200","Collin Delome","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"1232","Matt Spencer","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"1329","Danny Ortiz","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"1334","Ben Guez","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"1342","Roberto Lopez","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"1387","Cody Puckett","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"1411","Ollie Linton","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"1430","Ronnie Welty","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"2131","Jose Aguilar","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"2369","Kyle Waldrop","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"2612","Jason Coats","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"2707","Matty Johnson","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"3042","Yordanys Perez","outfield",1,0,0,0,0,0.232,-11.65,-36.12
"1258","Carlos Moncrief","outfield",12,1,0,1,0,0.227,-11.65,-36.13
"305","Scott Sizemore","third_base",1,0,0,0,0,0.236,-11.68,-36.22
"379","Gregorio Petit","third_base",1,0,0,0,0,0.236,-11.68,-36.22
"1860","Alfredo Gonzalez","catcher",1,0,0,0,0,0.158,-11.68,-36.23
"3413","Tomas Nido","catcher",1,0,0,0,0,0.158,-11.68,-36.23
"508","Alexi Casilla","second_base",1,0,0,0,0,0.242,-11.68,-36.24
"145","Vernon Wells","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"174","DeWayne Wise","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"667","Darin Mastroianni","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"670","Michael Martinez","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"710","Jaff Decker","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"1089","Bridger Hunt","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"1093","Nick Van Stratten","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"1106","Kyeong Kang","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"1109","Mark Dolenc","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"1242","Sawyer Carroll","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"1518","Tim Wheeler","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"2031","Amaury Cazana","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"2289","Drew Vettleson","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"3570","David Popkins","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"3622","Kevin Brown","outfield",1,0,0,0,0,0.231,-11.69,-36.27
"738","Derek Jeter","shortstop",1,0,0,0,0,0.264,-11.69,-36.27
"619","Ryan Jackson","third_base",1,0,0,0,0,0.235,-11.72,-36.36
"774","Ramiro Pena","third_base",1,0,0,0,0,0.235,-11.72,-36.36
"2277","David Sopilka","catcher",1,0,0,0,0,0.157,-11.72,-36.37
"2368","Jake Rodriguez","catcher",1,0,0,0,0,0.157,-11.72,-36.37
"3272","Pablo Urena","catcher",1,0,0,0,0,0.157,-11.72,-36.37
"3304","Jose Maria","catcher",1,0,0,0,0,0.157,-11.72,-36.37
"3601","Eric Maria","catcher",1,0,0,0,0,0.157,-11.72,-36.37
"3636","Spencer Navin","catcher",1,0,0,0,0,0.157,-11.72,-36.37
"3703","Mario Martinez","catcher",1,0,0,0,0,0.157,-11.72,-36.37
"589","Irving Falu","second_base",1,0,0,0,0,0.241,-11.73,-36.39
"32","Mark Kotsay","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"216","Darnell McDonald","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"914","Frank Diaz","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"992","Brahiam Maldonado","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"1014","John Drennen","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"1097","Brandon Tripp","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"1195","Quincy Latimore","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"1241","James Mcowen","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"1248","Evan Frey","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"1392","J.R. Higley","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"1561","Jamie Johnson","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"1593","Alan Ahmady","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"2081","Ryan Lapensee","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"2599","Mikie Mahtook","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"2613","Travis Jankowski","outfield",1,0,0,0,0,0.23,-11.73,-36.41
"609","Brent Morel","third_base",1,0,0,0,0,0.234,-11.76,-36.51
"611","Andy LaRoche","third_base",1,0,0,0,0,0.234,-11.76,-36.51
"3072","Leudi Otano","catcher",1,0,0,0,0,0.156,-11.77,-36.52
"3682","Brian Reyes","catcher",1,0,0,0,0,0.156,-11.77,-36.52
"3842","Nick Ciuffo","catcher",1,0,0,0,0,0.156,-11.77,-36.52
"4076","Julian Leon","catcher",1,0,0,0,0,0.156,-11.77,-36.52
"123","Billy Burns","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"432","Mike Baxter","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"500","Alfredo Marte","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"734","Jason Bartlett","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"1027","Drew Locke","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"1075","Clay Fuller","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"1390","Kyle Conley","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"1397","Brent Wyatt","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"1555","D'Vontrey Richardson","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"1599","Nick Ciolli","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"1673","Dan Kaczrowski","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"1962","Eduardo Arredondo","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"2301","Mel Rojas Jr.","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"2333","Jared Simon","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"2451","John Whitaker","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"2682","Rubi Silva","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"3904","Mike Tauchman","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"4010","Chantz Mack","outfield",1,0,0,0,0,0.229,-11.78,-36.55
"242","Josh Wilson","second_base",60,5,1,5,1,0.212,-11.8,-36.63
"155","Mark DeRosa","third_base",1,0,0,0,0,0.233,-11.81,-36.65
"2999","Justin Marra","catcher",1,0,0,0,0,0.155,-11.81,-36.66
"3658","David Rodriguez","catcher",1,0,0,0,0,0.155,-11.81,-36.66
"136","Munenori Kawasaki","second_base",1,0,0,0,0,0.239,-11.81,-36.67
"190","Brian Roberts","second_base",1,0,0,0,0,0.239,-11.81,-36.67
"902","Sergio Contreras","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"1059","Maxwell Leon","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"1147","Chih-Hsien Chiang","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"1156","David Paisano","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"1210","Michael Main","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"1427","Andy Simunic","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"1583","Shannon Wilkerson","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"2073","Jordan Casas","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"2114","Jorge Padron","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"2166","Jonathan Roof","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"2597","John Andreoli","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"2942","Glynn Davis","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"2946","Peter Lavin","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"2998","James Ramsey","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"3175","Roman Hernandez","outfield",1,0,0,0,0,0.228,-11.82,-36.7
"869","Jeff Bianchi","third_base",1,0,0,0,0,0.232,-11.85,-36.79
"3316","Angel Reyes","catcher",1,0,0,0,0,0.154,-11.85,-36.8
"3469","Charles Moorman","catcher",1,0,0,0,0,0.154,-11.85,-36.8
